session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Nationality,Sex,Student Status
5fc0c5c3d23e4a59120a6820,5999d56f05a0e30001f1ffc3,APPROVED,2020-11-27 09:24:19.367000,2020-11-27 09:28:52.148000,272.781,42,974,9,99,2020-12-15 13:44:47.198000,5E5B3080,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5fc0c5c57b888f08ff8227c3,5d920df12b679a00182bbc73,APPROVED,2020-11-27 09:24:26.089000,2020-11-27 09:41:26.471000,1020.382,35,693,0,100,2020-12-15 13:44:53.570000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0c5c5ae4e11094e62178a,5dd0098e01fadf0fa6c3a15f,APPROVED,2020-11-27 09:24:24.552000,2020-11-27 09:29:16.059000,291.507,35,747,2,100,2020-12-15 13:44:58.168000,5E5B3080,United States,United States,Part-Time,English,English,United States,Female,No
5fc0c5c6c039c1504e8ebb9c,5efdfaf787862b294b0b6bd2,APPROVED,2020-11-27 09:24:25.140000,2020-11-27 09:26:58.599000,153.459,23,130,2,99,2020-12-15 13:45:03.511000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0c5c6cac4560a721c71a7,58f4a7947b2e410001c2edde,APPROVED,2020-11-27 09:24:25.743000,2020-11-27 09:37:03.317000,757.574,62,1057,6,100,2020-12-15 13:45:07.236000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5fc0c5cd7dc40859e987b878,5c4da47734ee9300011d2299,APPROVED,2020-11-27 09:24:29.727000,2020-11-27 09:30:46.001000,376.274,73,500,6,99,2021-02-03 11:02:39.042000,5E5B3080,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5fc0c5cdbb0f24088907e8be,5ea9c475ec2b531108f86a3f,APPROVED,2020-11-27 09:24:58.123000,2020-11-27 09:27:35.624000,157.501,31,253,0,100,2020-12-15 13:45:12.969000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5fc0c5ce10850d59ff0f1fac,5ee5defbfe74a3000d106f51,APPROVED,2020-11-27 09:24:30.020000,2020-11-27 09:27:36.063000,186.043,28,440,0,100,2020-12-15 13:45:16.115000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5fc0c5cece816f59225caf2f,5dee651e58776a51569d31f3,APPROVED,2020-11-27 09:24:40.027000,2020-11-27 09:29:50.250000,310.223,48,441,1,100,2020-12-15 13:45:19.878000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0c5cf5716ac08d03ab1af,5d06c925e70cc40016e1bef2,APPROVED,2020-11-27 09:28:25.183000,2020-11-27 09:36:19.470000,474.287,32,353,11,95,2020-12-15 13:45:23.853000,5E5B3080,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",,English,United Kingdom,Male,Yes
5fc0c5d21916b60954922ca2,5c2fb1412c45d400014ae103,APPROVED,2020-11-27 09:24:34.599000,2020-11-27 09:27:45.748000,191.149,26,375,5,99,2020-12-15 13:58:59.624000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5fc0c5d30985e858df91b9b4,5f111456d672e8471ca03f46,APPROVED,2020-11-27 09:24:41.640000,2020-11-27 09:28:43.680000,242.04,34,569,7,98,2020-12-15 14:50:37.988000,5E5B3080,United States,United States,Due to start a new job within the next month,English,English,United States,Female,No
5fc0c5d40446cf59aaf5c7a7,5e9217ae73c54f553335fb28,REJECTED,2020-11-27 09:26:27.190000,2020-11-27 09:37:23.440000,656.25,24,285,1,100,2020-12-15 14:15:22.547000,5E5B3080,United Kingdom,United Kingdom,Due to start a new job within the next month,English,English,United Kingdom,Female,Yes
5fc0c5d48a5d175b1b17bcf2,5bdcc0e876d6d50001bc33b9,APPROVED,2020-11-27 09:24:36.068000,2020-11-27 09:39:40.059000,903.991,21,636,1,100,2020-12-15 14:50:42.081000,5E5B3080,United States,United States,Unemployed (and job seeking),English,English,United States,Male,Yes
5fc0c665db042e17f9ebfba0,5ea55d3722a58c3bd4a5e417,APPROVED,2020-11-27 09:27:01.290000,2020-11-27 09:42:02.831000,901.541,34,194,0,100,2020-12-15 14:50:47.443000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5fc0d5cdc12e630c147be26c,599be413e6e73e00018726a3,RETURNED,2020-11-27 10:32:52.368000,,13057421.276805,35,709,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc0d5cea3f1885d3262408c,5f2044bd427e720c068a3b85,APPROVED,2020-11-27 10:32:55.424000,2020-11-27 10:38:43.280000,347.856,48,189,0,100,2020-12-15 14:50:52.171000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0d5d17f8dc85d2a27a069,5d7c060606189b0017ba79c9,APPROVED,2020-11-27 10:32:53.804000,2020-11-27 10:55:30.268000,1356.464,37,672,4,99,2020-12-15 14:50:56.374000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0d5d2d59fcd0b87749008,5eea9d46bc56df13430bc510,APPROVED,2020-11-27 10:32:50.694000,2020-11-27 10:36:17.805000,207.111,21,298,9,96,2020-12-15 14:51:01.883000,5E5B3080,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Male,No
5fc0d5d33fe3ee0b46b5d061,5ac76c50e734400001da4db3,APPROVED,2020-11-27 10:32:51.080000,2020-11-27 10:42:24.065000,572.985,39,244,0,100,2020-12-15 14:51:06.265000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,DATA EXPIRED,United Kingdom,Male,No
5fc0d5d384db515c90228dd6,5d2464b812b27400011db6e7,APPROVED,2020-11-27 10:33:05.736000,2020-11-27 11:09:23.120000,2177.384,36,347,3,99,2020-12-15 14:06:05.876000,NOCODE,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,No
5fc0d5d3c623640c0d3b6cb0,5f25e860dd98342ce97e7403,APPROVED,2020-11-27 10:32:51.731000,2020-11-27 10:44:03.205000,671.474,27,256,1,100,2020-12-15 14:51:10.467000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,DATA EXPIRED,United Kingdom,Female,No
5fc0d5d4a8786a5cfd191a1d,5f8556b3fee3e7236b1f2d03,APPROVED,2020-11-27 10:32:52.787000,2020-11-27 10:46:11.448000,798.661,37,162,0,100,2020-12-15 14:51:14.849000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,DATA EXPIRED,United Kingdom,Male,No
5fc0d5daff43360b90d8d0f6,5f4cbdf9f599118d27c21442,APPROVED,2020-11-27 10:32:58.198000,2020-11-27 10:36:34.592000,216.394,41,272,5,99,2020-12-15 14:51:18.807000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,DATA EXPIRED,United Kingdom,Female,No
5fc0d5dbc9c6cc5cb78b9845,5d8125f63d05eb0001731115,APPROVED,2020-11-27 10:32:59.714000,2020-11-27 10:53:17.236000,1217.522,31,507,2,100,2020-12-15 14:11:08.685000,5E5B3080,Bulgaria,United Kingdom,Part-Time,English,English,Bulgaria,Female,No
5fc0d5dc0446cf5d5ea20586,5ea06c67b325c90132fb5095,APPROVED,2020-11-27 10:33:02.867000,2020-11-27 10:51:44.729000,1121.862,75,141,1,100,2020-12-15 14:51:23.189000,5E5B3080,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",,English,United Kingdom,Male,No
5fc0d5e54776130c2a36edfd,56bb6812bf2129000b53ce26,RETURNED,2020-11-27 10:33:09.017000,,13057404.7321,44,2447,30,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc0d5e584db515d7fa11ce9,5acb457ce1546900019c3e6c,APPROVED,2020-11-27 10:33:09.926000,2020-11-27 10:46:45.179000,815.253,34,943,1,100,2020-12-15 14:51:27.410000,5E5B3080,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Female,Yes
5fc0d5ead025695e262207ed,5ef26746cace090b48e15bd1,APPROVED,2020-11-27 10:33:14.561000,2020-11-27 10:52:34.724000,1160.163,29,245,2,100,2020-12-15 14:51:34.217000,5E5B3080,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Female,Yes
5fc0d5eefa517b0c0d6bcd8f,5f2075147b2ccb1408401905,APPROVED,2020-11-27 10:33:18.833000,2020-11-27 10:36:36.547000,197.714,25,218,2,100,2020-12-15 14:51:38.250000,NOCODE,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0d5efd23e4a5bdcbb1979,5da4f1c636f07700111ec3c2,APPROVED,2020-11-27 10:33:19.236000,2020-11-27 10:40:57.015000,457.779,39,470,2,100,2020-12-15 14:51:42.575000,5E5B3080,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Male,No
5fc0d5f07dc4085d8f46c1b9,5f78d505cd4a784b0433f6a7,APPROVED,2020-11-27 10:33:20.249000,2020-11-27 10:59:37.860000,1577.611,27,303,2,100,2020-12-15 14:51:48.324000,5E5B3080,United States,United States,Full-Time,English,DATA EXPIRED,United States,Female,No
5fc0d5f51862720ca9bf2608,5f1ebf038091f202472ec14d,APPROVED,2020-11-27 10:33:24.975000,2020-11-27 10:37:03.604000,218.629,46,247,2,100,2020-12-15 14:51:51.666000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
